nm,R
9072.42,0.9368927
9080.14,0.9374632
9087.87,0.9378652
9095.59,0.9382347
9103.31,0.9384532
9111.03,0.9386282
9118.75,0.9386997
9126.47,0.9387287
9134.19,0.9387112
9141.91,0.9386662
9149.64,0.9385727
9157.36,0.9384377
9165.08,0.9382412
9172.8,0.9379687
9180.52,0.9376652
9188.24,0.9373032
9195.96,0.9369442
9203.68,0.9365927
9211.41,0.9362452
9219.13,0.9359247
9226.85,0.9356052
9234.57,0.9352502
9242.29,0.9348957
9250.01,0.9344892
9257.73,0.9340757
9265.45,0.9336617
9273.17,0.9332482
9280.9,0.9328612
9288.62,0.9324922
9296.34,0.9321427
9304.06,0.9318182
9311.78,0.9314962
9319.5,0.9311827
9327.22,0.9308647
9334.94,0.9305057
9342.67,0.9301472
9350.39,0.9297502
9358.11,0.9293512
9365.83,0.9289827
9373.55,0.9286257
9381.27,0.9283132
9388.99,0.9280367
9396.71,0.9277847
9404.44,0.9275772
9412.16,0.9273797
9419.88,0.9272342
9427.6,0.9270902
9435.32,0.9269557
9443.04,0.9268222
9450.76,0.9266447
9458.48,0.9264487
9466.21,0.9262392
9473.93,0.9260152
9481.65,0.9258137
9489.37,0.9256852
9497.09,0.9255557
9504.81,0.9255432
9512.53,0.9255317
9520.25,0.9255262
9527.97,0.9255222
9535.7,0.9254962
9543.42,0.9254442
9551.14,0.9253977
9558.86,0.9253727
9566.58,0.9253472
9574.3,0.9254132
9582.02,0.9254877
9589.74,0.9256227
9597.47,0.9257942
9605.19,0.9259807
9612.91,0.9261987
9620.63,0.9264162
9628.35,0.9266252
9636.07,0.9268332
9643.79,0.9270182
9651.51,0.9271932
9659.24,0.9273727
9666.96,0.9275602
9674.68,0.9277507
9682.4,0.9280237
9690.12,0.9282967
9697.84,0.9286367
9705.56,0.9290062
9713.28,0.9293917
9721.01,0.9298092
9728.73,0.9302257
9736.45,0.9306727
9744.17,0.9311197
9751.89,0.9315907
9759.61,0.9320757
9767.33,0.9325637
9775.05,0.9330607
9782.77,0.9335562
9790.5,0.9340402
9798.22,0.9345212
9805.94,0.9350057
9813.66,0.9354947
9821.38,0.9359847
9829.1,0.9365082
9836.82,0.9370317
9844.54,0.9375692
9852.27,0.9381152
9859.99,0.9386572
9867.71,0.9391882
9875.43,0.9397182
9883.15,0.9402077
9890.87,0.9406847
9898.59,0.9411382
9906.31,0.9415462
9914.04,0.9419532
9921.76,0.9423187
9929.48,0.9426782
9937.2,0.9430297
9944.92,0.9433692
9952.64,0.9437087
9960.36,0.9440212
9968.08,0.9443327
9975.81,0.9446172
9983.53,0.9448747
9991.25,0.9451307
9998.97,0.9453427
10006.7,0.9455537
10014.4,0.9457587
10022.1,0.9459567
10029.9,0.9461547
10037.6,0.9463217
10045.3,0.9464877
10053,0.9466082
10060.7,0.9466767
10068.5,0.9467452
10076.2,0.9466957
10083.9,0.9466392
10091.6,0.9465407
10099.3,0.9463827
10107.1,0.9462237
10114.8,0.9459972
10122.5,0.9457597
10130.2,0.9455047
10138,0.9452097
10145.7,0.9449147
10153.4,0.9445962
10161.1,0.9442687
10168.8,0.9439387
10176.6,0.9435937
10184.3,0.9432487
10192,0.9428952
10199.7,0.9425352
10207.4,0.9421752
10215.2,0.9417912
10222.9,0.9414067
10230.6,0.9410072
10238.3,0.9405822
10246,0.9401577
10253.8,0.9397027
10261.5,0.9392382
10269.2,0.9387732
10276.9,0.9382977
10284.7,0.9378227
10292.4,0.9373572
10300.1,0.9369007
10307.8,0.9364457
10315.5,0.9360142
10323.3,0.9355877
10331,0.9351672
10338.7,0.9347712
10346.4,0.9343757
10354.1,0.9339957
10361.9,0.9336302
10369.6,0.9332647
10377.3,0.9329127
10385,0.9325637
10392.8,0.9322142
10400.5,0.9318627
10408.2,0.9315117
10415.9,0.9311642
10423.6,0.9308212
10431.4,0.9304787
10439.1,0.9301617
10446.8,0.9298547
10454.5,0.9295472
10462.2,0.9292757
10470,0.9290047
10477.7,0.9287397
10485.4,0.9284902
10493.1,0.9282417
10500.8,0.9280042
10508.6,0.9277777
10516.3,0.9275507
10524,0.9273507
10531.7,0.9271592
10539.5,0.9269677
10547.2,0.9268282
10554.9,0.9266907
10562.6,0.9265642
10570.3,0.9264837
10578.1,0.9264037
10585.8,0.9263362
10593.5,0.9262852
10601.2,0.9262352
10608.9,0.9261877
10616.7,0.9261417
10624.4,0.9260962
10632.1,0.9260632
10639.8,0.9260337
10647.6,0.9260047
10655.3,0.9260042
10663,0.9260047
10670.7,0.9260077
10678.4,0.9260297
10686.2,0.9260517
10693.9,0.9260777
10701.6,0.9261147
10709.3,0.9261512
10717,0.9261907
10724.8,0.9262347
10732.5,0.9262782
10740.2,0.9263292
10747.9,0.9263862
10755.6,0.9264432
10763.4,0.9265297
10771.1,0.9266317
10778.8,0.9267332
10786.5,0.9268652
10794.3,0.9270067
10802,0.9271482
10809.7,0.9272727
10817.4,0.9273942
10825.1,0.9275162
10832.9,0.9276107
